Trend Industry
11/22/2019 12:00:00 AM	元器件|41|-2|0.23|-0.01	软件服务|40|4|0.22|0.02	汽车配件|32|3|0.24|0.02	化工原料|32|7|0.20|0.04	电气设备|31|6|0.18|0.03	化学制药|30|-8|0.29|-0.08	专用机械|26|4|0.19|0.03	互联网|25|9|0.36|0.13	通信设备|24|5|0.21|0.04	医疗保健|21|-4|0.29|-0.05	影视音像|20|7|0.43|0.15	半导体|17|3|0.31|0.06	银行|16|-4|0.48|-0.12	机械基件|14|5|0.20|0.07	食品|14|-3|0.24|-0.05	普钢|13|10|0.52|0.40	文教休闲|13|-3|0.35|-0.08	家用电器|12|-2|0.29|-0.05	中成药|12|-1|0.17|-0.01	区域地产|12|0|0.19|0.00	家居用品|12|-2|0.32|-0.05
11/15/2019 12:00:00 AM	元器件|43|-15|0.24|-0.08	化学制药|38|-14|0.37|-0.14	软件服务|36|-21|0.20|-0.12	汽车配件|29|-4|0.21|-0.03	医疗保健|25|-2|0.34|-0.03	化工原料|25|-17|0.16|-0.11	电气设备|25|-20|0.15|-0.12	专用机械|22|-11|0.16|-0.08	银行|20|-4|0.61|-0.12	通信设备|19|-5|0.16|-0.04	生物制药|17|-5|0.40|-0.12	食品|17|-2|0.29|-0.03	文教休闲|16|-2|0.43|-0.05	互联网|16|-6|0.23|-0.09	家用电器|14|-6|0.34|-0.15	家居用品|14|-5|0.37|-0.13	半导体|14|0|0.26|0.00	中成药|13|-17|0.19|-0.25	影视音像|13|1|0.28|0.02	区域地产|12|-9|0.19|-0.14	建筑工程|12|-5|0.14|-0.06
11/8/2019 12:00:00 AM	元器件|58|19|0.32|0.11	软件服务|57|-4|0.31|-0.02	化学制药|52|12|0.51|0.12	电气设备|45|10|0.26|0.06	化工原料|42|2|0.27|0.01	汽车配件|33|2|0.24|0.01	专用机械|33|0|0.25|0.00	中成药|30|2|0.43|0.03	医疗保健|27|1|0.37|0.01	通信设备|24|-2|0.21|-0.02	银行|24|-1|0.73|-0.03	生物制药|22|2|0.51|0.05	互联网|22|-6|0.31|-0.09	区域地产|21|0|0.33|0.00	家用电器|20|-1|0.49|-0.02	食品|19|-1|0.32|-0.02	家居用品|19|5|0.50|0.13	文教休闲|18|0|0.49|0.00	建筑工程|17|1|0.20|0.01	环境保护|15|-3|0.21|-0.04	供气供热|14|-1|0.50|-0.04
11/1/2019 12:00:00 AM	软件服务|61|4|0.34|0.02	化学制药|40|4|0.39|0.04	化工原料|40|0|0.25|0.00	元器件|39|2|0.22|0.01	电气设备|35|-4|0.20|-0.02	专用机械|33|-7|0.25|-0.05	汽车配件|31|-6|0.23|-0.04	中成药|28|8|0.41|0.12	互联网|28|9|0.40|0.13	通信设备|26|6|0.22|0.05	医疗保健|26|5|0.36|0.07	银行|25|-2|0.76|-0.06	区域地产|21|3|0.33|0.05	家用电器|21|8|0.51|0.20	生物制药|20|-1|0.47|-0.02	食品|20|1|0.34|0.02	环境保护|18|1|0.25|0.01	文教休闲|18|0|0.49|0.00	建筑工程|16|0|0.18|0.00	半导体|16|10|0.30|0.19	仓储物流|16|6|0.42|0.16
10/25/2019 12:00:00 AM	软件服务|57|2|0.31|0.01	化工原料|40|6|0.25|0.04	专用机械|40|4|0.30|0.03	电气设备|39|7|0.23|0.04	元器件|37|-1|0.21|-0.01	汽车配件|37|6|0.27|0.04	化学制药|36|2|0.35|0.02	银行|27|1|0.82|0.03	生物制药|21|-3|0.49|-0.07	医疗保健|21|-11|0.29|-0.15	中成药|20|8|0.29|0.12	通信设备|20|-2|0.17|-0.02	食品|19|5|0.32|0.08	互联网|19|-2|0.27|-0.03	区域地产|18|3|0.28|0.05	文教休闲|18|-1|0.49|-0.03	电器仪表|18|-2|0.29|-0.03	环境保护|17|4|0.24|0.06	全国地产|16|3|0.46|0.09	建筑工程|16|1|0.18|0.01	机械基件|16|-5|0.23|-0.07
10/18/2019 12:00:00 AM	软件服务|55|-10|0.30|-0.06	元器件|38|-12|0.21|-0.07	专用机械|36|-18|0.27|-0.13	化学制药|34|0|0.33|0.00	化工原料|34|-16|0.22|-0.10	电气设备|32|-22|0.19|-0.13	医疗保健|32|9|0.44|0.12	汽车配件|31|-3|0.23|-0.02	银行|26|1|0.79|0.03	生物制药|24|2|0.56|0.05	通信设备|22|-5|0.19|-0.04	互联网|21|3|0.30|0.04	机械基件|21|-1|0.30|-0.01	电器仪表|20|-4|0.32|-0.06	文教休闲|19|2|0.51|0.05	供气供热|16|0|0.57|0.00	区域地产|15|-2|0.23|-0.03	建筑工程|15|0|0.17|0.00	家用电器|14|-2|0.34|-0.05	食品|14|4|0.24|0.07	塑料|14|-1|0.31|-0.02
10/11/2019 12:00:00 AM	软件服务|65|2|0.36|0.01	电气设备|54|5|0.31|0.03	专用机械|54|0|0.40|0.00	元器件|50|-3|0.28|-0.02	化工原料|50|6|0.32|0.04	化学制药|34|5|0.33|0.05	汽车配件|34|2|0.25|0.01	通信设备|27|-3|0.23|-0.03	银行|25|13|0.76|0.39	电器仪表|24|-3|0.39|-0.05	医疗保健|23|4|0.32|0.05	生物制药|22|4|0.51|0.09	机械基件|22|3|0.31|0.04	互联网|18|4|0.26|0.06	区域地产|17|4|0.27|0.06	文教休闲|17|3|0.46|0.08	家用电器|16|1|0.39|0.02	全国地产|16|3|0.46|0.09	供气供热|16|3|0.57|0.11	家居用品|16|0|0.42|0.00	建筑工程|15|-1|0.17|-0.01
9/30/2019 12:00:00 AM	软件服务|63|-18|0.35|-0.10	专用机械|54|-5|0.40|-0.04	元器件|53|-18|0.30|-0.10	电气设备|49|-13|0.28|-0.08	化工原料|44|-9|0.28|-0.06	汽车配件|32|-12|0.24|-0.09	通信设备|30|-6|0.26|-0.05	化学制药|29|-5|0.28|-0.05	电器仪表|27|-3|0.44|-0.05	机械基件|19|-5|0.27|-0.07	医疗保健|19|-2|0.26|-0.03	生物制药|18|-1|0.42|-0.02	建筑工程|16|0|0.18|0.00	家居用品|16|-2|0.42|-0.05	服饰|16|-2|0.29|-0.04	家用电器|15|-3|0.37|-0.07	影视音像|15|-6|0.33|-0.13	文教休闲|14|-2|0.38|-0.05	互联网|14|-10|0.20|-0.14	全国地产|13|-1|0.37|-0.03	区域地产|13|-1|0.20|-0.02
9/27/2019 12:00:00 AM	软件服务|81|-77|0.45|-0.43	元器件|71|-67|0.40|-0.37	电气设备|62|-43|0.36|-0.25	专用机械|59|-39|0.44|-0.29	化工原料|53|-34|0.34|-0.22	汽车配件|44|-52|0.33|-0.39	通信设备|36|-53|0.31|-0.46	化学制药|34|-39|0.33|-0.38	电器仪表|30|-19|0.48|-0.31	互联网|24|-28|0.34|-0.40	机械基件|24|23|0.34|0.32	影视音像|21|-14|0.46|-0.30	半导体|21|-21|0.39|-0.39	医疗保健|21|-29|0.29|-0.40	生物制药|19|-11|0.44|-0.26	家用电器|18|-13|0.44|-0.32	家居用品|18|-11|0.47|-0.29	服饰|18|-14|0.32|-0.25	供气供热|17|-4|0.61|-0.14	文教休闲|16|-14|0.43|-0.38	建筑工程|16|-39|0.18|-0.45
9/26/2019 12:00:00 AM	化纤|1|-15|0.04|-0.60	机械基件|1|-48|0.01|-0.68	小金属|1|-18|0.03|-0.55
